n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.040832,0.8218,0.0831,12.84,0.3833
64,4,8,32,0.033248,2.0184,0.2041,31.54,0.9414
64,4,16,64,0.034304,3.9126,0.3956,61.13,1.8249
64,4,32,128,0.038016,7.0611,0.7140,110.33,3.2934
64,4,64,256,0.046784,11.4755,1.1603,179.31,5.3524
64,16,16,256,0.047232,11.3667,1.1493,177.60,5.3016
64,32,8,256,0.048800,11.0015,1.1124,171.90,5.1313
64,32,16,512,0.066944,16.0394,1.6218,250.62,7.4811
64,8,64,512,0.067840,15.8276,1.6004,247.31,7.3823
64,64,16,1024,0.118368,18.1424,1.8344,283.48,8.4620
64,16,64,1024,0.110432,19.4462,1.9662,303.85,9.0701
64,64,64,4096,0.382240,22.4726,2.2723,351.13,10.4816
64,128,64,8192,0.722208,23.7880,2.4053,371.69,11.0951
64,64,128,8192,0.715200,24.0211,2.4288,375.33,11.2039
64,128,128,16384,1.359392,25.2758,2.5557,394.93,11.7891
