n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.011811,2.8411,0.2873,44.39,1.3251
64,4,8,32,0.011846,5.6652,0.5728,88.52,2.6424
64,4,16,64,0.011916,11.2637,1.1389,175.99,5.2536
64,4,32,128,0.012809,20.9566,2.1190,327.45,9.7745
64,4,64,256,0.017350,30.9437,3.1288,483.50,14.4327
64,16,16,256,0.017237,31.1459,3.1492,486.65,14.5270
64,32,8,256,0.017182,31.2460,3.1594,488.22,14.5737
64,32,16,512,0.026084,41.1655,4.1623,643.21,19.2003
64,8,64,512,0.026156,41.0522,4.1509,641.44,19.1475
64,64,16,1024,0.055974,38.3660,3.8793,599.47,17.8946
64,16,64,1024,0.055742,38.5256,3.8954,601.96,17.9690
64,64,64,4096,0.196851,43.6367,4.4122,681.82,20.3529
