n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.003926,8.5476,0.8643,133.56,3.9868
64,4,8,32,0.004493,14.9370,1.5103,233.39,6.9669
64,4,16,64,0.005840,22.9812,2.3237,359.08,10.7189
64,4,32,128,0.008740,30.7151,3.1057,479.92,14.3261
64,4,64,256,0.014561,36.8694,3.7279,576.08,17.1965
64,16,16,256,0.013545,39.6353,4.0076,619.30,18.4866
64,32,8,256,0.016002,33.5507,3.3924,524.23,15.6487
64,32,16,512,0.024047,44.6514,4.5148,697.68,20.8262
64,8,64,512,0.025970,41.3459,4.1806,646.03,19.2844
64,64,16,1024,0.042855,50.1106,5.0668,782.98,23.3725
64,16,64,1024,0.038208,56.2051,5.6830,878.20,26.2151
64,64,64,4096,0.175167,49.0384,4.9584,766.23,22.8724
64,128,64,8192,0.336756,51.0158,5.1583,797.12,23.7947
64,64,128,8192,0.334573,51.3486,5.1920,802.32,23.9499
64,128,128,16384,0.641370,53.5724,5.4168,837.07,24.9871
