n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.016083,2.0864,0.2110,32.60,0.9731
64,4,8,32,0.016802,3.9941,0.4039,62.41,1.8629
64,4,16,64,0.018130,7.4030,0.7485,115.67,3.4529
64,4,32,128,0.021634,12.4081,1.2546,193.88,5.7874
64,4,64,256,0.031489,17.0497,1.7239,266.40,7.9523
64,16,16,256,0.031405,17.0950,1.7285,267.11,7.9734
64,32,8,256,0.034290,15.6567,1.5831,244.64,7.3026
64,32,16,512,0.052230,20.5580,2.0787,321.22,9.5886
64,8,64,512,0.052780,20.3435,2.0570,317.87,9.4886
64,64,16,1024,0.103870,20.6747,2.0905,323.04,9.6431
64,16,64,1024,0.095698,22.4403,2.2690,350.63,10.4666
64,64,64,4096,0.367839,23.3524,2.3612,364.88,10.8920
64,128,64,8192,0.704112,24.3993,2.4671,381.24,11.3803
64,64,128,8192,0.693810,24.7616,2.5037,386.90,11.5493
64,128,128,16384,1.327612,25.8808,2.6169,404.39,12.0713
64,256,128,32768,2.608073,26.3488,2.6642,411.70,12.2895
64,128,256,32768,2.611675,26.3124,2.6605,411.13,12.2726
64,256,256,65536,5.339426,25.7404,2.6027,402.19,12.0058
