n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64.000000,4.000000,4.000000,16.000000,0.016083,2.086400,0.211000,32.600000,0.973100
64.000000,4.000000,8.000000,32.000000,0.016802,3.994100,0.403900,62.410000,1.862900
64.000000,4.000000,16.000000,64.000000,0.018130,7.403000,0.748500,115.670000,3.452900
64.000000,4.000000,32.000000,128.000000,0.021634,12.408100,1.254600,193.880000,5.787400
64.000000,17.333333,29.333333,256.000000,0.032395,16.600467,1.678500,259.383333,7.742767
64.000000,20.000000,40.000000,512.000000,0.052505,20.450750,2.067850,319.545000,9.538600
64.000000,40.000000,40.000000,1024.000000,0.099784,21.557500,2.179750,336.835000,10.054850
64.000000,64.000000,64.000000,4096.000000,0.367839,23.352400,2.361200,364.880000,10.892000
64.000000,96.000000,96.000000,8192.000000,0.698961,24.580450,2.485400,384.070000,11.464800
64.000000,128.000000,128.000000,16384.000000,1.327612,25.880800,2.616900,404.390000,12.071300
64.000000,192.000000,192.000000,32768.000000,2.609874,26.330600,2.662350,411.415000,12.281050
64.000000,256.000000,256.000000,65536.000000,5.339426,25.740400,2.602700,402.190000,12.005800
