n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64.000000,4.000000,4.000000,16.000000,0.007588,4.422300,0.447200,69.100000,2.062600
64.000000,4.000000,8.000000,32.000000,0.007776,8.630800,0.872700,134.860000,4.025600
64.000000,4.000000,16.000000,64.000000,0.007772,17.269000,1.746100,269.830000,8.054600
64.000000,4.000000,32.000000,128.000000,0.007795,34.437400,3.482000,538.080000,16.062200
64.000000,17.333333,29.333333,256.000000,0.008789,61.099433,6.177867,954.680000,28.497867
64.000000,20.000000,40.000000,512.000000,0.016515,65.019350,6.574250,1015.925000,30.326200
64.000000,40.000000,40.000000,1024.000000,0.036848,58.290400,5.893850,910.790000,27.187650
64.000000,64.000000,64.000000,4096.000000,0.125420,68.489100,6.925100,1070.140000,31.944500
64.000000,96.000000,96.000000,8192.000000,0.239390,71.768950,7.256750,1121.390000,33.474350
64.000000,128.000000,128.000000,16384.000000,0.466885,73.593600,7.441200,1149.900000,34.325400
64.000000,192.000000,192.000000,32768.000000,0.926847,74.143700,7.496850,1158.495000,34.581950
64.000000,256.000000,256.000000,65536.000000,1.849306,74.319200,7.514600,1161.240000,34.663800
