n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64.000000,4.000000,4.000000,16.000000,0.003926,8.547600,0.864300,133.560000,3.986800
64.000000,4.000000,8.000000,32.000000,0.004493,14.937000,1.510300,233.390000,6.966900
64.000000,4.000000,16.000000,64.000000,0.005840,22.981200,2.323700,359.080000,10.718900
64.000000,4.000000,32.000000,128.000000,0.008740,30.715100,3.105700,479.920000,14.326100
64.000000,17.333333,29.333333,256.000000,0.014703,36.685133,3.709300,573.203333,17.110600
64.000000,20.000000,40.000000,512.000000,0.025008,42.998650,4.347700,671.855000,20.055300
64.000000,40.000000,40.000000,1024.000000,0.040531,53.157850,5.374900,830.590000,24.793800
64.000000,64.000000,64.000000,4096.000000,0.175167,49.038400,4.958400,766.230000,22.872400
64.000000,96.000000,96.000000,8192.000000,0.335665,51.182200,5.175150,799.720000,23.872300
64.000000,128.000000,128.000000,16384.000000,0.641370,53.572400,5.416800,837.070000,24.987100
