n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64.000000,4.000000,4.000000,16.000000,0.019061,1.760400,0.178000,27.510000,0.821100
64.000000,4.000000,8.000000,32.000000,0.034094,1.968300,0.199000,30.760000,0.918100
64.000000,4.000000,16.000000,64.000000,0.063617,2.109800,0.213300,32.970000,0.984000
64.000000,4.000000,32.000000,128.000000,0.122059,2.199200,0.222400,34.360000,1.025800
64.000000,17.333333,29.333333,256.000000,0.242508,2.214333,0.223867,34.600000,1.032800
64.000000,20.000000,40.000000,512.000000,0.476849,2.251800,0.227650,35.185000,1.050300
64.000000,40.000000,40.000000,1024.000000,0.952468,2.254850,0.228000,35.230000,1.051700
64.000000,64.000000,64.000000,4096.000000,3.765196,2.281400,0.230700,35.650000,1.064100
64.000000,96.000000,96.000000,8192.000000,7.522274,2.283850,0.230950,35.685000,1.065250
64.000000,128.000000,128.000000,16384.000000,15.069225,2.280100,0.230500,35.630000,1.063500
