n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.007588,4.4223,0.4472,69.10,2.0626
64,4,8,32,0.007776,8.6308,0.8727,134.86,4.0256
64,4,16,64,0.007772,17.2690,1.7461,269.83,8.0546
64,4,32,128,0.007795,34.4374,3.4820,538.08,16.0622
64,4,64,256,0.008578,62.5864,6.3282,977.91,29.1914
64,16,16,256,0.008862,60.5796,6.1253,946.56,28.2554
64,32,8,256,0.008928,60.1323,6.0801,939.57,28.0468
64,32,16,512,0.016634,64.5526,6.5271,1008.63,30.1085
64,8,64,512,0.016396,65.4861,6.6214,1023.22,30.5439
64,64,16,1024,0.036358,59.0643,5.9721,922.88,27.5486
64,16,64,1024,0.037337,57.5165,5.8156,898.70,26.8267
64,64,64,4096,0.125420,68.4891,6.9251,1070.14,31.9445
64,128,64,8192,0.241143,71.2434,7.2036,1113.18,33.2292
64,64,128,8192,0.237637,72.2945,7.3099,1129.60,33.7195
64,128,128,16384,0.466885,73.5936,7.4412,1149.90,34.3254
64,256,128,32768,0.928930,73.9771,7.4800,1155.89,34.5042
64,128,256,32768,0.924764,74.3103,7.5137,1161.10,34.6597
64,256,256,65536,1.849306,74.3192,7.5146,1161.24,34.6638
