n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.016415,2.0442,0.2067,31.94,0.9534
64,4,8,32,0.017212,3.8988,0.3942,60.92,1.8185
64,4,16,64,0.018549,7.2357,0.7316,113.06,3.3748
64,4,32,128,0.022058,12.1696,1.2305,190.15,5.6761
64,4,64,256,0.031988,16.7838,1.6970,262.25,7.8282
64,16,16,256,0.031838,16.8624,1.7050,263.47,7.8649
64,32,8,256,0.034740,15.4540,1.5626,241.47,7.2080
64,32,16,512,0.051842,20.7117,2.0942,323.62,9.6603
64,8,64,512,0.052438,20.4764,2.0704,319.94,9.5505
64,64,16,1024,0.104430,20.5639,2.0793,321.31,9.5914
64,16,64,1024,0.096808,22.1828,2.2430,346.61,10.3465
64,64,64,4096,0.369178,23.2677,2.3527,363.56,10.8525
