Starting sweep...
n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.019061,1.7604,0.1780,27.51,0.8211
64,4,8,32,0.034094,1.9683,0.1990,30.76,0.9181
64,4,16,64,0.063617,2.1098,0.2133,32.97,0.9840
64,4,32,128,0.122059,2.1992,0.2224,34.36,1.0258
64,4,64,256,0.238254,2.2534,0.2278,35.21,1.0510
64,16,16,256,0.242219,2.2165,0.2241,34.63,1.0338
64,32,8,256,0.247050,2.1731,0.2197,33.96,1.0136
64,32,16,512,0.479259,2.2404,0.2265,35.01,1.0450
64,8,64,512,0.474438,2.2632,0.2288,35.36,1.0556
64,64,16,1024,0.961399,2.2337,0.2259,34.90,1.0418
64,16,64,1024,0.943536,2.2760,0.2301,35.56,1.0616
64,64,64,4096,3.765196,2.2814,0.2307,35.65,1.0641
64,128,64,8192,7.530984,2.2812,0.2307,35.64,1.0640
64,64,128,8192,7.513565,2.2865,0.2312,35.73,1.0665
64,128,128,16384,15.069225,2.2801,0.2305,35.63,1.0635
