n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.035717,0.9394,0.0950,14.68,0.4382
64,4,8,32,0.037592,1.7852,0.1805,27.89,0.8327
64,4,16,64,0.037543,3.5751,0.3615,55.86,1.6675
64,4,32,128,0.037588,7.1416,0.7221,111.59,3.3309
64,4,64,256,0.038613,13.9037,1.4058,217.25,6.4849
64,16,16,256,0.038708,13.8699,1.4024,216.72,6.4692
64,32,8,256,0.038665,13.8853,1.4040,216.96,6.4763
64,32,16,512,0.109609,9.7961,0.9905,153.06,4.5691
64,8,64,512,0.109059,9.8455,0.9955,153.84,4.5921
64,64,16,1024,0.266731,8.0511,0.8141,125.80,3.7552
64,16,64,1024,0.259649,8.2707,0.8363,129.23,3.8576
64,64,64,4096,1.037554,8.2790,0.8371,129.36,3.8615
