n_seqs,n_heads,n_chunks,blocks,latency_ms,tflops,compute_eff_pct,kv_gbps,kv_mem_eff_pct
64,4,4,16,0.016129,2.0803,0.2103,32.51,0.9703
64,4,8,32,0.016892,3.9729,0.4017,62.08,1.8530
64,4,16,64,0.018201,7.3742,0.7456,115.22,3.4395
64,4,32,128,0.021682,12.3808,1.2518,193.45,5.7746
64,4,64,256,0.031664,16.9552,1.7144,264.93,7.9082
64,16,16,256,0.031451,17.0701,1.7260,266.72,7.9618
64,32,8,256,0.034367,15.6218,1.5796,244.09,7.2863
64,32,16,512,0.051652,20.7881,2.1019,324.81,9.6959
64,8,64,512,0.052264,20.5445,2.0773,321.01,9.5823
64,64,16,1024,0.103364,20.7760,2.1007,324.63,9.6903
64,16,64,1024,0.096120,22.3418,2.2590,349.09,10.4206
64,64,64,4096,0.368191,23.3301,2.3590,364.53,10.8816
64,128,64,8192,0.703597,24.4172,2.4689,381.52,11.3886
64,64,128,8192,0.693980,24.7556,2.5031,386.81,11.5464
64,128,128,16384,1.328544,25.8627,2.6150,404.10,12.0628
